Id_Estudiante,nombre,apellido,correo,contrasenia
1,Pedro,Martínez,pedro.martinez@alumno.edu,est123
2,Lucía,Díaz,lucia.diaz@alumno.edu,est123
3,Jorge,Castro,jorge.castro@alumno.edu,est123
4,Sofía,Vargas,sofia.vargas@alumno.edu,est123
5,Diego,Morales,diego.morales@alumno.edu,est123
6,Carlos,Mendoza,carlos.mendoza@alumno.edu,est123
7,Ana,Silva,ana.silva@alumno.edu,est123
8,Elena,Ríos,elena.rios@alumno.edu,est123
9,Mario,Gómez,mario.gomez@alumno.edu,est123
10,Laura,Acosta,laura.acosta@alumno.edu,est123
