Id_Profesor,nombre,apellido,correo,contrasenia
1,Juan,Pérez,juan.perez@sanmartin.edu,pass123
2,María,Gómez,maria.gomez@sanmartin.edu,pass123
3,Carlos,Ruiz,carlos.ruiz@sanmartin.edu,pass123
4,Ana,Torres,ana.torres@sanmartin.edu,pass123
5,Luis,Fernández,luis.fernandez@sanmartin.edu,pass123
6,Roberto,Benítez,roberto.benitez@sanmartin.edu,pass123
7,Diana,Molina,diana.molina@sanmartin.edu,pass123
8,Ricardo,Pérez,ricardo.perez@sanmartin.edu,pass123
9,Patricia,Salgado,patricia.salgado@sanmartin.edu,pass123
10,Héctor,Jiménez,hector.jimenez@sanmartin.edu,pass123
